key,start,end,xlsx_col3,xlsx_col9,xlsx_col11,xlsx_a,xlsx_b,xlsx_col16,xlsx_col10,xlsx_col12,xlsx_string,record,start_dom_top_1,start_dom_top_2,start_dom_top_3,start_dom_top_4,start_dom_top_5,end_dom_top_1,end_dom_top_2,end_dom_top_3,end_dom_top_4,end_dom_top_5,start_non_top_1,start_non_top_2,start_non_top_3,start_non_top_4,start_non_top_5,end_non_top_1,end_non_top_2,end_non_top_3,end_non_top_4,end_non_top_5
sign_277688,22,28,DRINK,C,C,933.0,939.0,4.0,,,2011-12-08_0045-cam1-for-ss3.mp4,0,1,flat-O,B-L,fanned-flat-O,5-C,F,5,crvd-5,8,Y,bent-B-L,5,C,F,crvd-5,bent-B-L,5,C,F,crvd-5
sign_277688,32,38,WATER,W,W,943.0,949.0,4.0,,,2011-12-08_0045-cam1-for-ss3.mp4,0,5,F,B,B-L,4,tight-C_2,4,5,D,6,bent-B-L,5,C,F,crvd-5,bent-B-L,5,C,F,crvd-5
sign_277688,47,53,TASTE,25,25,958.0,964.0,4.0,,,2011-12-08_0045-cam1-for-ss3.mp4,0,5,crvd-5,3,5-C-L,25,B-L,bent-B-L,crvd-B,L,5,bent-B-L,5,F,crvd-5,C,bent-B-L,5,F,C,crvd-5
sign_277688,57,65,FUNNY,bent-U-L,bent-U-L,968.0,976.0,4.0,,,2011-12-08_0045-cam1-for-ss3.mp4,0,B-L,bent-B-L,bent-B,25,crvd-B,B-L,bent-B-L,bent-B,crvd-B,25,bent-B-L,5,F,C,crvd-5,bent-B-L,5,F,C,crvd-5
sign_277688,72,81,"(1h)5\perplexed\""""",5-C-L,5-C-L,983.0,992.0,4.0,,,2011-12-08_0045-cam1-for-ss3.mp4,0,crvd-5,tight-C_2,B-L,5,25,crvd-5,5-C-L,B-L,tight-C_2,crvd-L,bent-B-L,5,F,crvd-5,C,bent-B-L,5,F,crvd-5,C
sign_277688,102,108,#NO,flat-O-2,flat-O-2,1013.0,1019.0,4.0,,,2011-12-08_0045-cam1-for-ss3.mp4,0,tight-C_2,S,1,A,10,tight-C_2,N,flat-O,F,1,bent-B-L,5,C,F,bent-B,bent-B-L,5,F,C,crvd-5
sign_277688,112,118,TASTE,25,25,1023.0,1029.0,4.0,,,2011-12-08_0045-cam1-for-ss3.mp4,0,5,B-L,crvd-5,5-C-L,bent-B-L,B-L,5,bent-B-L,crvd-5,crvd-B,bent-B-L,5,F,C,crvd-5,bent-B-L,5,F,C,crvd-5
sign_277688,122,132,OF-COURSE,U,U,1033.0,1043.0,4.0,psv,psv,2011-12-08_0045-cam1-for-ss3.mp4,0,V,tight-C_2,open-8,L,crvd-5,5,V,B-L,tight-C_2,crvd-5,bent-B-L,5,C,1,crvd-5,bent-B-L,5,F,1,crvd-5
sign_277688,136,138,TO/UNTIL,1,1,1047.0,1049.0,4.0,1,1,2011-12-08_0045-cam1-for-ss3.mp4,0,1,tight-C_2,bent-1,V,L,1,bent-1,V,L,X,bent-B-L,5,F,C,25,5,F,bent-B-L,crvd-5,5-C-L
sign_277688,152,163,"(2h)\I don't know\""""",5-C-L,5-C-L,1063.0,1074.0,4.0,5-C-L,5-C-L,2011-12-08_0045-cam1-for-ss3.mp4,0,L,5-C-L,alt-G_bent-L,crvd-L,tight-C_2,5-C-L,L-X,crvd-5,L,B-L,bent-B-L,5,F,crvd-5,5-C-L,bent-B-L,5,crvd-5,C,F
sign_350566,24,28,"LCL:3\parked car\""""",3,3,5584.0,5588.0,25.0,psv,psv,2011-12-08_0046-cam1-for-ss3.mp4,1,1,V,tight-C_2,5,B-L,L,alt-G_bent-L,1,tight-C_2,A,5,bent-B-L,F,crvd-5,5-C-L,5,bent-B-L,F,crvd-5,5-C-L
sign_350566,33,37,RED,1,X,5593.0,5597.0,25.0,,,2011-12-08_0046-cam1-for-ss3.mp4,1,1,T,A,tight-C_2,alt-G_bent-L,S,A,tight-C_2,10,1,5,bent-B-L,F,5-C-L,crvd-5,5,bent-B-L,F,crvd-5,C
sign_350566,39,44,LIGHT,cocked-8,open-8,5599.0,5604.0,25.0,,,2011-12-08_0046-cam1-for-ss3.mp4,1,tight-C_2,B-L,B,W,C,5,W,25,crvd-5,tight-C_2,5,bent-B-L,F,crvd-5,C,5,bent-B-L,F,crvd-5,C
sign_350566,54,70,HIT,crvd-5,S,5614.0,5630.0,25.0,1,1,2011-12-08_0046-cam1-for-ss3.mp4,1,crvd-5,5,crvd-sprd-B,V,crvd-V,1,tight-C_2,L,X,B-L,5,F,crvd-5,bent-B-L,5-C-L,5,F,bent-B-L,crvd-5,Y
sign_350566,80,86,FEEL,25,25,5640.0,5646.0,25.0,,,2011-12-08_0046-cam1-for-ss3.mp4,1,B-L,25,5,crvd-5,tight-C_2,25,5,B-L,U-L,tight-C_2,5,bent-B-L,F,crvd-5,Y,bent-B-L,5,F,crvd-5,C
sign_350566,96,102,CAR+AGENT,S,crvd-5,5656.0,5662.0,25.0,S,crvd-5,2011-12-08_0046-cam1-for-ss3.mp4,1,1,tight-C_2,X,crvd-5,bent-1,B-L,5,crvd-5,3,L,5,F,bent-B-L,Y,crvd-5,5,bent-B-L,F,5-C-L,25
sign_350566,107,116,PHONE,Y,Y,5667.0,5676.0,25.0,,,2011-12-08_0046-cam1-for-ss3.mp4,1,Y,5,tight-C_2,5-C,25,Y,10,5,3,bent-B-L,bent-B-L,5,F,C,crvd-5,bent-B-L,5,F,C,crvd-5
sign_350566,127,130,"(1h)L-X\I don't know\""""",L-X,L-X,5687.0,5690.0,25.0,,,2011-12-08_0046-cam1-for-ss3.mp4,1,Y,5-C,5-C-L,C,5,L,L-X,alt-G_bent-L,tight-C_2,U-L,bent-B-L,5,C,F,crvd-5,bent-B-L,5,C,F,crvd-5
sign_350566,133,138,THINK,1,1,5693.0,5698.0,25.0,,,2011-12-08_0046-cam1-for-ss3.mp4,1,1,tight-C_2,bent-1,V,L,S,A,1,flat-O,10,bent-B-L,5,F,crvd-5,C,bent-B-L,5,crvd-5,F,C
sign_350566,143,147,"(1h)L\I don't know\""""",L,L,5703.0,5707.0,25.0,,,2011-12-08_0046-cam1-for-ss3.mp4,1,L,5,3,tight-C_2,U-L,L,5-C-L,L-X,Y,10,5,crvd-5,F,bent-B-L,5-C-L,bent-B-L,5,F,crvd-5,C
sign_330256,2,13,(25)WHY+NOT,25,10,7087.0,7098.0,42.0,,,2012-02-14_0066-cam1-for-ss3.mp4,2,5,F,B-L,open-F,tight-C_2,10,1,flat-O,S,tight-C_2,bent-B-L,5,F,crvd-5,Y,bent-B-L,5,crvd-5,1,Y
sign_330256,16,21,DISCUSS,1,1,7101.0,7106.0,42.0,crvd-B,crvd-B,2012-02-14_0066-cam1-for-ss3.mp4,2,1,10,X,D,tight-C_2,5,1,bent-B,flat-O,crvd-5,5,F,bent-B-L,crvd-5,Y,5,F,bent-B-L,Y,crvd-5
sign_330256,25,49,fs-JOURNEY,I_J,Y,7110.0,7134.0,42.0,,,2012-02-14_0066-cam1-for-ss3.mp4,2,Y,F,25,I,open-8,Y,I,I-L-Y,25,B-L,5,F,bent-B-L,crvd-5,5-C-L,bent-B-L,5,F,crvd-5,C
sign_330256,95,101,THROUGH,B-L,B-L,7180.0,7186.0,42.0,Vulcan,Vulcan,2012-02-14_0066-cam1-for-ss3.mp4,2,B,B-L,5,1,B-xd,B-L,B,5,1,B-xd,bent-B-L,5,F,Y,crvd-5,bent-B-L,5,F,Y,crvd-5
sign_330256,104,119,EXPERIENCE,crvd-sprd-B,flat-O,7189.0,7204.0,42.0,,,2012-02-14_0066-cam1-for-ss3.mp4,2,5,B-L,crvd-5,B,25,S,tight-C_2,1,T,X,bent-B-L,5,F,crvd-B,Y,bent-B-L,5,F,crvd-5,U-L
sign_259846,28,34,NOW,Y,Y,755.0,761.0,5.0,Y,Y,2013-06-27_CB_0110-cam1-for-ss3.mp4,3,Y,bent-B-L,bent-B,10,L,Y,bent-B-L,bent-B,O,crvd-B,5,F,L-X,crvd-5,5-C-L,5,F,L-X,5-C-L,crvd-5
sign_259846,42,53,(5)WEATHER,5,5,769.0,780.0,5.0,5,5,2013-06-27_CB_0110-cam1-for-ss3.mp4,3,5,crvd-5,8,C,25,5,B-L,F,B,25,L-X,5,1,crvd-5,5-C-L,5,L-X,1,Y,crvd-5
sign_259846,62,70,BEAUTIFUL,5,flat-O,789.0,797.0,5.0,,,2013-06-27_CB_0110-cam1-for-ss3.mp4,3,5,25,crvd-5,B-L,B-xd,S,1,bent-1,A,flat-O,5,bent-B-L,F,crvd-5,5-C-L,5,bent-B-L,F,crvd-5,L-X
sign_338391,8,16,BAD,B-L,B-L,19536.0,19544.0,82.0,,,2013-06-27_CB_0115-cam1-for-ss3.mp4,4,B-L,25,U-L,crvd-5,I-L-Y,B-L,V,F,5,tight-C_2,5,bent-B-L,F,5-C-L,L-X,5,F,bent-B-L,5-C-L,L-X
sign_338391,25,32,(5)WEATHER,5,5,19553.0,19560.0,82.0,5,5,2013-06-27_CB_0115-cam1-for-ss3.mp4,4,5,crvd-5,8,25,B,5,crvd-5,B-L,25,B,5,L-X,crvd-5,1,5-C-L,5,L-X,crvd-5,1,25
sign_338391,48,60,"SCL:C\clouds rolling in\""""",C,C,19576.0,19588.0,82.0,C,C,2013-06-27_CB_0115-cam1-for-ss3.mp4,4,crvd-5,C,L,crvd-B,5,bent-U-L,crvd-B,S,crvd-L,1,5,F,5-C-L,crvd-5,L-X,5,L-X,5-C-L,25,crvd-5
