id_csv1,val1_csv1,val2_csv1,xlsx_col3,xlsx_col9,xlsx_col11,xlsx_a,xlsx_b,xlsx_col16,xlsx_col10,xlsx_col12,xlsx_string
sign_277688,22,28,DRINK,C,C,933,939,4,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,32,38,WATER,W,W,943,949,4,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,47,53,TASTE,25,25,958,964,4,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,57,65,FUNNY,bent-U-L,bent-U-L,968,976,4,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,72,81,"(1h)5\perplexed\""""",5-C-L,5-C-L,983,992,4,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,102,108,#NO,flat-O-2,flat-O-2,1013,1019,4,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,112,118,TASTE,25,25,1023,1029,4,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,122,132,OF-COURSE,U,U,1033,1043,4,psv,psv,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,136,138,TO/UNTIL,1,1,1047,1049,4,1,1,2011-12-08_0045-cam1-for-ss3.mp4
sign_277688,152,163,"(2h)\I don't know\""""",5-C-L,5-C-L,1063,1074,4,5-C-L,5-C-L,2011-12-08_0045-cam1-for-ss3.mp4
sign_350566,24,28,"LCL:3\parked car\""""",3,3,5584,5588,25,psv,psv,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,33,37,RED,1,X,5593,5597,25,,,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,39,44,LIGHT,cocked-8,open-8,5599,5604,25,,,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,54,70,HIT,crvd-5,S,5614,5630,25,1,1,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,80,86,FEEL,25,25,5640,5646,25,,,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,96,102,CAR+AGENT,S,crvd-5,5656,5662,25,S,crvd-5,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,107,116,PHONE,Y,Y,5667,5676,25,,,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,127,130,"(1h)L-X\I don't know\""""",L-X,L-X,5687,5690,25,,,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,133,138,THINK,1,1,5693,5698,25,,,2011-12-08_0046-cam1-for-ss3.mp4
sign_350566,143,147,"(1h)L\I don't know\""""",L,L,5703,5707,25,,,2011-12-08_0046-cam1-for-ss3.mp4
sign_330256,2,13,(25)WHY+NOT,25,10,7087,7098,42,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_330256,16,21,DISCUSS,1,1,7101,7106,42,crvd-B,crvd-B,2012-02-14_0066-cam1-for-ss3.mp4
sign_330256,25,49,fs-JOURNEY,I_J,Y,7110,7134,42,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_330256,95,101,THROUGH,B-L,B-L,7180,7186,42,Vulcan,Vulcan,2012-02-14_0066-cam1-for-ss3.mp4
sign_330256,104,119,EXPERIENCE,crvd-sprd-B,flat-O,7189,7204,42,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_259846,28,34,NOW,Y,Y,755,761,5,Y,Y,2013-06-27_CB_0110-cam1-for-ss3.mp4
sign_259846,42,53,(5)WEATHER,5,5,769,780,5,5,5,2013-06-27_CB_0110-cam1-for-ss3.mp4
sign_259846,62,70,BEAUTIFUL,5,flat-O,789,797,5,,,2013-06-27_CB_0110-cam1-for-ss3.mp4
sign_338391,8,16,BAD,B-L,B-L,19536,19544,82,,,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_338391,25,32,(5)WEATHER,5,5,19553,19560,82,5,5,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_338391,48,60,"SCL:C\clouds rolling in\""""",C,C,19576,19588,82,C,C,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_338391,67,82,ns-BOSTON,B,B,19595,19610,82,,,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_338391,88,108,WHEN,1,1,19616,19636,82,1,1,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_339719,10,14,MOTHER,5,5,5417,5421,27,,,2013-06-27_CB_0112-cam1-for-ss3.mp4
sign_339719,39,52,NICE/CLEAN,B-L,B-L,5446,5459,27,B-L,B-L,2013-06-27_CB_0112-cam1-for-ss3.mp4
sign_339719,60,84,(K)KITCHEN,K,K,5467,5491,27,B-L,B-L,2013-06-27_CB_0112-cam1-for-ss3.mp4
sign_348036,15,22,MOTHER,5,5,1557,1564,8,,,2012-11-27_JM1_0090-cam1-for-ss3.mp4
sign_348036,33,49,NICE/CLEAN,B-L,B-L,1575,1591,8,B-L,B-L,2012-11-27_JM1_0090-cam1-for-ss3.mp4
sign_348036,57,68,(K)KITCHEN,K,K,1599,1610,8,bent-B,bent-B,2012-11-27_JM1_0090-cam1-for-ss3.mp4
sign_329483,4,9,ONE,1,1,560,565,5,,,2012-02-14_0066-cam1-for-ss3.mp4
